kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_1483a0d8	HSat3	G3	70	35.0	35.84285714285714	31.0	38.75	2.2223116637286866	70
k16_1483a0d8	HSat3	G4	39	27.0	26.076923076923077	7.0	39.5	1.603001388555425	39
k16_1483a0d8	HSat3	G5	47	7.0	7.914893617021277	5.0	10.5	0.41556607071106033	47
k16_1483a0d8	HSat3	G6	47	7.0	6.76595744680851	3.5	9.5	0.42049931770982135	47
k16_1483a0d8	HSat3	G7	126	36.0	35.976190476190474	32.0	39.0	2.2341613350917937	126
k16_1483a0d8	HSat3	NA	131	10.0	17.290076335877863	4.5	34.0	0.5397335129566464	131
k16_158ba0ed	HSat3	G1	59	30.0	32.23728813559322	18.0	39.5	2.024290428996429	59
k16_158ba0ed	HSat3	G2	54	29.5	31.944444444444443	20.5	39.75	1.9809209729628376	54
k16_158ba0ed	HSat3	G3	70	31.0	31.1	22.25	37.5	1.891465874440025	70
k16_158ba0ed	HSat3	G4	39	26.0	34.743589743589745	13.5	49.5	2.0037517356942813	39
k16_158ba0ed	HSat3	G5	47	10.0	10.382978723404255	7.0	14.0	0.5059913024592807	47
k16_158ba0ed	HSat3	G6	47	10.0	10.957446808510639	6.0	14.5	0.6214641795504477	47
k16_158ba0ed	HSat3	G7	126	9.0	10.079365079365079	5.0	12.0	0.5039981841635525	126
k16_158ba0ed	HSat3	NA	131	18.0	20.72519083969466	7.0	30.5	1.012685795824792	131
k16_1d1f53d4	HSat3	G1	59	10.0	31.93220338983051	3.5	59.0	1.8135515164038483	59
k16_1d1f53d4	HSat3	G2	54	6.0	21.88888888888889	3.0	53.0	0.4409086244857099	54
k16_1d1f53d4	HSat3	G3	70	6.0	26.6	2.25	57.0	0.47448615024450935	70
k16_1d1f53d4	HSat3	G4	39	49.0	34.46153846153846	3.0	60.0	2.6382158951942354	39
k16_1d1f53d4	HSat3	G5	47	25.0	33.61702127659574	6.0	61.0	1.3202432796448482	47
k16_1d1f53d4	HSat3	G6	47	54.0	37.255319148936174	4.5	60.5	2.63804328942702	47
k16_1d1f53d4	HSat3	G7	126	6.0	26.595238095238095	3.0	56.75	0.47896552204635956	126
k16_1d1f53d4	HSat3	NA	131	5.0	21.763358778625953	2.0	52.0	0.3417295573641118	131
k16_1dabe3d4	HSat3	G1	59	40707.0	35749.745762711864	32513.5	47868.5	2261.9025954806675	59
k16_1dabe3d4	HSat3	G2	54	38075.0	35433.12962962963	29338.75	44814.0	2330.882719084767	54
k16_1dabe3d4	HSat3	G3	70	39638.5	35685.62857142857	27770.5	47226.25	2315.7903823968936	70
k16_1dabe3d4	HSat3	G4	39	38225.0	30285.153846153848	4005.0	45127.5	2246.493170545024	39
k16_1dabe3d4	HSat3	G5	47	43061.0	38940.53191489362	35814.5	48957.0	2297.5583813426706	47
k16_1dabe3d4	HSat3	G6	47	36285.0	33105.34042553192	31300.5	40733.0	2276.1301029554425	47
k16_1dabe3d4	HSat3	G7	126	37537.0	34796.73809523809	27546.5	46371.25	2276.2695168593773	126
k16_1dabe3d4	HSat3	NA	131	36669.0	32230.396946564884	3829.0	46720.5	2316.3839802764282	131
k16_238f53da	HSat2	G1	158	6759.0	6342.791139240507	20.0	10951.75	366.9818829818536	158
k16_238f53da	HSat2	G2	42	5324.0	5751.880952380952	16.25	10601.25	348.35285215220824	42
k16_238f53da	HSat2	G3	289	7340.0	6710.782006920415	18.0	11099.0	397.1874320237609	289
k16_238f53da	HSat2	NA	84	3548.0	5164.142857142857	8.0	9621.25	189.19858609204022	84
k16_281a0283	HSat3	G1	59	109.0	105.37288135593221	75.5	132.0	6.429864467250008	59
